time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2010-01-23 02:29:19.580000+00:00,18.504,-71.975,10.0,4.2,mb,26.0,51.7,,1.25,us,usp000h6gy,2014-11-07 01:40:32.969000+00:00,"0 km ESE of Fond Parisien, Haiti",earthquake,,,,13.0,reviewed,us,us," Fond Parisien, Haiti",0.0,Fond Parisien,Haiti
2010-01-22 22:40:37.860000+00:00,18.402,-72.103,10.0,4.1,mb,36.0,49.5,,1.25,us,usp000h6gu,2014-11-07 01:40:32.952000+00:00,"17 km SW of Fond Parisien, Haiti",earthquake,,,,2.0,reviewed,us,us," Fond Parisien, Haiti",17.0,Fond Parisien,Haiti
2010-01-22 12:54:14.170000+00:00,18.462,-72.431,10.0,4.2,mb,41.0,51.7,,0.95,us,usp000h6gd,2022-07-16 01:03:42.201000+00:00,"9 km SSW of Carrefour, Haiti",earthquake,,,,9.0,reviewed,us,us," Carrefour, Haiti",9.0,Carrefour,Haiti
2010-01-21 16:54:09.510000+00:00,18.462,-72.743,10.0,4.8,mb,181.0,22.6,,0.97,us,usp000h6ey,2022-07-16 01:00:16.745000+00:00,"4 km NE of Grangwav, Haiti",earthquake,,,,72.0,reviewed,us,us," Grangwav, Haiti",4.0,Grangwav,Haiti
2010-01-21 16:45:20.410000+00:00,18.398,-72.842,10.0,4.9,mb,190.0,22.6,,1.0,us,usp000h6ex,2022-07-16 00:58:38.428000+00:00,"4 km SSE of Tigwav, Haiti",earthquake,,,,85.0,reviewed,us,us," Tigwav, Haiti",4.0,Tigwav,Haiti
2010-01-21 00:09:15.050000+00:00,18.427,-72.822,10.0,4.0,md,10.0,82.1,,0.88,us,usp000h6dt,2014-11-07 01:40:31.932000+00:00,"4 km E of Tigwav, Haiti",earthquake,,,,,reviewed,us,sdd," Tigwav, Haiti",4.0,Tigwav,Haiti
2010-01-20 15:12:11.140000+00:00,18.443,-72.788,10.0,4.0,md,30.0,51.4,,1.12,us,usp000h6de,2014-11-07 01:40:31.863000+00:00,"2 km NW of Grangwav, Haiti",earthquake,,,,,reviewed,us,sdd," Grangwav, Haiti",2.0,Grangwav,Haiti
2010-01-20 11:21:59.780000+00:00,18.406,-72.843,10.0,4.0,mb,23.0,54.8,,1.16,us,usp000h6d3,2014-11-07 01:40:31.737000+00:00,"3 km SE of Tigwav, Haiti",earthquake,,,,3.0,reviewed,us,us," Tigwav, Haiti",3.0,Tigwav,Haiti
2010-01-20 11:03:43.490000+00:00,18.423,-72.823,10.5,5.9,mwc,361.0,22.6,,0.84,us,usp000h6d2,2022-07-16 00:53:06.283000+00:00,"4 km ESE of Tigwav, Haiti",earthquake,,,,,reviewed,us,us," Tigwav, Haiti",4.0,Tigwav,Haiti
2010-01-17 18:19:19.870000+00:00,18.489,-72.796,10.0,4.5,mb,65.0,24.7,,1.02,us,usp000h68m,2014-11-07 01:40:29.757000+00:00,"7 km NNW of Grangwav, Haiti",earthquake,,,,9.0,reviewed,us,us," Grangwav, Haiti",7.0,Grangwav,Haiti
2010-01-17 17:51:08.310000+00:00,18.506,-72.81,10.0,4.7,mb,52.0,48.3,,1.22,us,usp000h68j,2014-11-07 01:40:29.744000+00:00,"9 km NNW of Grangwav, Haiti",earthquake,,,,10.0,reviewed,us,us," Grangwav, Haiti",9.0,Grangwav,Haiti
2010-01-17 01:26:23.300000+00:00,18.447,-72.615,10.0,4.0,mb,22.0,51.6,,1.33,us,usp000h67p,2014-11-07 01:40:29.512000+00:00,"7 km SSE of Léogâne, Haiti",earthquake,,,,2.0,reviewed,us,us," Léogâne, Haiti",7.0,Léogâne,Haiti
2010-01-16 15:59:55.730000+00:00,18.469,-72.552,10.0,4.5,mb,44.0,52.3,,1.27,us,usp000h66z,2014-11-07 01:40:29.003000+00:00,"8 km SSW of Gressier, Haiti",earthquake,,,,15.0,reviewed,us,us," Gressier, Haiti",8.0,Gressier,Haiti
